game_name,tag_line
Summoner V,NA1
Bmfx,NA1
黑死牟 Kokushibo,DEMON
ily,5 13
Beginning,NA1
Eternal life,5753
Miracle,MIKE
RutyBagel,NA1
Vietnam Yone,Viet
Fahmadriserr,2397
hahahaigh,NA1
fool,pyke
X cdizzle X,NA1
Sky,PCC
sapovnela,life
er ber ter,NA1
Tails,JJ9
Journey,TOP
FLY Gakgos,F L Y
gemi,swift
PoopSwag69,l33t
never look back,0307
AdmirablePotato,6318
Suzune,001
Kyuki,NA1
푸른 하늘,9029
dior,elite
alvinchangrocks,NA1
ShadowThrash,NA1
Vincent ADgap,NA1
GJONES,FIGHT
BetaTwinz,NA1
Blanquirroja,NA1
kituruken,1717
SPRiNG CHiCKEN,LOVE
Aizo,Happy
Aaron Song,NA1
BiliBiliBD,Alpha
Hiccup1357,duck
Porty,Cleo
Parray,mica
xFSN Saber,NA1
SickofEgirlSup,1234
Ecrofkwah,AIRA
Resh,yasuo
kitten cat,pig
SKT T1 Faker,KRR
canyonxunoner,Jngle
Goneinyourwake,kayn
xianbaowei,NA1
asldugadfes,2008
HKEggWaffle,711
cookie,이쿠키
Clipperzz,liz
Jouzef,NA1
arbrioo,ttv
Xaple,NA1
flowers,wilt
哈吉米南北绿豆,曼波曼波
Nouology,11111
Biov2,023
lee yoohan,jay
Friend of Forest,Ivern
Light,CAN2
Gruba Świnia,fatpl
BaldChampBaldIRL,NA2
walid georgey,Choco
Faker fans,Goat1
TTV Heartbreak1,6262
COACH FOJ,TLA
The GXN,GOD
Minui,NA1
hatsune miku,14123
DOOM DADA,9762
mimzv9,pepga
young,0000
Magmor,Blade
RoseThorn,Rose
Michael Teriyaki,牛 奶
White Fox24,NA2
dios,bunso
